broker,account_id,product_code,product_name,instrument_type,put_call,strike_price,delivery_month,side,quantity,trade_date,trade_price,market_price,variation_margin,currency,lot_size,fx_spot_rate
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,36.6,34.499,7815.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,35.15,34.499,2421.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-01,42.2,34.499,28647.72,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-10,83.21,85.37,-3348.0,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.25,85.37,4836.0,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.49,85.37,4464.0,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-10,83.7,85.37,2588.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,101.6,85.37,-25156.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,88.0,85.37,4076.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-10,82.9,85.37,3828.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,97.35,85.37,18569.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-07,34.755,34.499,-952.32,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-10,33.735,34.499,-2842.08,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,33.32,34.499,4385.88,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-03,40.305,34.499,21598.32,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,101.0,85.37,-24226.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-02,100.0,85.37,-22676.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.4,85.37,4603.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-01,101.6,85.37,-25156.5,GBP,31000,1.31875
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,82.51,85.37,4433.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,35.15,34.499,2421.72,EUR,744,1.13495
Broker B,B:23040,GCM,UK NATURAL GAS,FUTURE,NAN,,2025-05,,-5,2025-04-07,89.25,85.37,6014.0,GBP,31000,1.31875
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,-5,2025-04-09,35.05,34.499,2049.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-01,42.35,34.499,-29205.72,EUR,744,1.13495
Broker B,B:23040,ITTF,DUTCH NAT GAS,FUTURE,NAN,,2025-05,,5,2025-04-09,33.33,34.499,4348.68,EUR,744,1.13495
