Group Code,Client Code,Commodity Code,Market Code,Exchange,Exchange Instrument Code,Future/Option,Put/Call,Delivery Month/Year,Bought or Sold,Quantity,Trade Date,Transaction Currency,Transaction Base Currency,Transaction Currency Classification,Exercise Price,Trade Price,Current Price,Variation Margin Amount,Option P&L,Last day of trading (expiry date),Settlement Timing,Input Date,ASX Code,Instrument Type,Con Input Date,Client Deal Id,Portfolio Code,Pending Delivery Contract Flag,Delivery Date,Con Reference Number,Exercise Style,Tick Value,Tick Size,Contract Size,Executing Broker,Trading Venue,Badge Id,Delta,Broker Code,Commodity Name,Market Name,Exchange Instrument Code Reporting,Market Zone,Historic Value
G111500M,G1115000,F7B4,EEX,EE ,F7B            ,F, ,2504,S,10,14/04/25,EUR,EUR,Segregated,                     ,36,36.66,-1108.8,                     ,25/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414164747,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,European Energy Exchange           ,F7B4           ,EUROPE  ,60480
G111500M,G1115000,F7B4,EEX,EE ,F7B            ,F, ,2504,S,5,14/04/25,EUR,EUR,Segregated,                     ,36,36.66,-554.4,                     ,25/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414169036,A,0,0.01,1,GFI  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,European Energy Exchange           ,F7B4           ,EUROPE  ,30240
G111500M,G1115000,F7B4,EEX,EE ,F7B            ,F, ,2504,S,1,14/04/25,EUR,EUR,Segregated,                     ,34.94,36.66,-288.96,                     ,25/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414178047,A,0,0.01,1,TRAY ,EL,          ,1,MLOECCLT,EEX FRENCH POWER BASE WEEK 4 FUTURE                                    ,European Energy Exchange           ,F7B4           ,EUROPE  ,5869.92
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2505,S,5,3/4/2025,EUR,EUR,Segregated,                     ,36.85,27.99,32959.2,                     ,30/05/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412379219,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,137082
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2505,S,7,3/4/2025,EUR,EUR,Segregated,                     ,36.9,27.99,46403.28,                     ,30/05/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412394684,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,192175.2
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2505,S,8,3/4/2025,EUR,EUR,Segregated,                     ,37.15,27.99,54520.32,                     ,30/05/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412397036,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,221116.8
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2505,S,5,3/4/2025,EUR,EUR,Segregated,                     ,37.16,27.99,34112.4,                     ,30/05/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412397045,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,138235.2
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2505,S,5,7/4/2025,EUR,EUR,Segregated,                     ,32,27.99,14917.2,                     ,30/05/25,C,14/04/25,      ,F,7/4/2025,0ECC                 , , ,        ,0413028269,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,119040
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2506,B,5,3/4/2025,EUR,EUR,Segregated,                     ,40,30.61,-33804,                     ,30/06/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412367735,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,-144000
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2506,B,5,3/4/2025,EUR,EUR,Segregated,                     ,39.2,30.61,-30924,                     ,30/06/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412379223,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,-141120
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2506,B,7,3/4/2025,EUR,EUR,Segregated,                     ,39.25,30.61,-43545.6,                     ,30/06/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412394686,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,-197820
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2506,B,8,3/4/2025,EUR,EUR,Segregated,                     ,39.5,30.61,-51206.4,                     ,30/06/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412397041,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,-227520
G111500M,G1115000,F7BM,EEX,EE ,F7B            ,F, ,2506,B,5,3/4/2025,EUR,EUR,Segregated,                     ,39.51,30.61,-32040,                     ,30/06/25,C,14/04/25,      ,F,3/4/2025,0ECC                 , , ,        ,0412397051,A,0,0.01,1,MAR  ,BL,          ,1,MLOECCLT,EEX FRENCH POWER BASE MONTH FUTURE                                     ,European Energy Exchange           ,F7BM           ,EUROPE  ,-142236
G111500M,G1115000,FE15,EEX,EE ,FE1            ,F, ,2504,S,15,14/04/25,EUR,EUR,Segregated,                     ,13.5,11.73,637.2,                     ,14/04/25,C,14/04/25,      ,F,14/04/25,0ECC                 , , ,        ,0414164738,A,0,0.01,1,TPU  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE DAY 15 FUTURE                                   ,European Energy Exchange           ,FE15           ,EUROPE  ,4860
G111500M,G1115000,FE3B,EEX,EE ,FEB            ,F, ,2504,S,2,4/4/2025,EUR,EUR,Segregated,                     ,22,16.24,1935.36,                     ,17/04/25,C,14/04/25,      ,F,4/4/2025,0ECC                 , , ,        ,0412718750,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE WEEK 3 FUTURE                                   ,European Energy Exchange           ,FEB3           ,EUROPE  ,7392
G111500M,G1115000,FE3B,EEX,EE ,FEB            ,F, ,2504,S,5,9/4/2025,EUR,EUR,Segregated,                     ,14,16.24,-1881.6,                     ,17/04/25,C,14/04/25,      ,F,9/4/2025,0ECC                 , , ,        ,0413431826,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE WEEK 3 FUTURE                                   ,European Energy Exchange           ,FEB3           ,EUROPE  ,11760
G111500M,G1115000,FE3B,EEX,EE ,FEB            ,F, ,2504,S,5,9/4/2025,EUR,EUR,Segregated,                     ,14,16.24,-1881.6,                     ,17/04/25,C,14/04/25,      ,F,9/4/2025,0ECC                 , , ,        ,0413486778,A,0,0.01,1,ICP  ,BL,          ,1,MLOECCLT,EEX SPANISH POWER BASE WEEK 3 FUTURE                                   ,European Energy Exchange           ,FEB3           ,EUROPE  ,11760
